ID,Vente,Adresse,TypeB,Surface,Prix,Nombre de Chambres,Date Vente
V1,Avenue de la Liberté 45,Marseille,Villa,417,2262642,5,2020-08-27
V2,Chemin des Vignes 95,Bordeaux,Maison,117,830934,1,2020-02-08
V3,Chemin des Vignes 60,Lyon,Maison,128,660096,4,2021-03-04
V4,Chemin des Vignes 42,Bordeaux,Appartement,70,263690,1,2023-07-25
V5,Boulevard Victor Hugo 90,Nice,Appartement,37,183964,1,2022-06-09
V6,Avenue de la Liberté 30,Nantes,Appartement,56,380240,1,2021-11-17
V7,Boulevard Victor Hugo 38,Montpellier,Appartement,106,493112,3,2020-10-01
V8,Chemin des Vignes 63,Bordeaux,Studio,15,50025,1,2022-06-24
V9,Avenue de la Liberté 34,Nice,Villa,196,1144248,5,2020-07-18
V10,Chemin des Vignes 67,Bordeaux,Maison,338,2919644,5,2022-03-11
